course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TR097,Intellectual Disability Nursing,412,410,419,,396,,398,,350 ,346 
TR111,Ancient History and Archaeology/Geography,496,,530,,352,,429,,,
TR112,Ancient History and Archaeology/History,577,,577,,529,,,,,
TR113,Ancient History and Archaeology/History of Art and Architecture,528,,541,,337,,477,,,
TR114,Ancient History and Archaeology/Modern Language,507,,512,,337,,420,,,
TR117,Ancient History and Archaeology/Religion,494,,625,,342,,368,,,
TR166,Classical Civilisation/English Literature,552,,567,,498,496,523,,,
TR173,Classical Civilisation/History of Art and Architecture,420,,487,,335,,466,,,
TR177,Classical Civilisation/Modern Language,484,,543,,335,,536,,,
TR179,Classical Civilisation/Philosophy,508,,522,,499,,518,,,
TR188,Computer Science/Business Studies,584,,602,,,,,,,
TR198,Economics/Geography,968,956,,,534,,552,,,
TR202,Economics/History,601,,625,,534,,566,,,
TR207,Economics/Mathematics,613,,625,,566,,601,,,
TR208,Economics/Modern Language,589,,611,,534,,578,,,
TR209,Economics/Philosophy,588,,611,,534,,576,,,
TR212,Economics/Sociology,589,,606,,534,,541,,,
TR214,Social Policy/Economics,611,,611,,,,,,,
TR228,Classical Languages/English Literature,555,,583,,498,,533,,,
TR230,Classical Languages/Linguistics,501,,501,,,,,,,
TR231,Classical Languages/History of Art and Architecture,613,,613,,349,,444,,,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",583,,583,,349,,566,,,
TR239,Classical Languages/Modern Language,543,,558,,349,,349,,,
TR240,Computer Science/Geography,482,,541,,,,,,,
TR241,Computer Science/Linguistics,495,,532,,,,,,,
TR262,English Literature/History,576,,600,,529,,552,,,
TR263,English Literature/History of Art and Architecture,571,,576,,498,497,533,,,
TR269,English Literature/Philosophy,555,,584,,499,,532,,,
TR272,English Literature/Sociology,553,,567,,498,,519,,,
TR276,English Literature/Drama Studies,555,,589,#,#498,,530,#,,
TR277,English Literature/Modern Language,554,,586,,498,495,543,,,
TR311,Film/Drama Studies,578,,578,#,#521,,557,#,,
